1801.61,1803.51,Bed009-c1,s,5b.6a,,,that's external services .
1803.97,1805.01,Bed009-c5,s^bk|s^ar.%--,6b,,,yeah | but that's not g- - eh - tha- ==
1806.48,1808.8,Bed009-c5,s^ng,6b+,,,that ha- - has all the wrong connotations .
1809.09,1811.11,Bed009-c5,s^rt,,,,it's - it sounds like it's you know - stand alone .
1811.11,1812.06,Bed009-c5,s^rt,,,,it doesn't interact .
1812.06,1812.49,Bed009-c5,s.%--,,,,it doesn't ==
1815.37,1815.79,Bed009-c5,s,,,,that's why i'm saying .
1815.79,1816.45,Bed009-c5,s.%--,,,,i think you can't ==
1816.88,1820.75,Bed009-c5,s^ba,,,,it's fine for looking up when t- - you know when - the show's on t_v .
1820.75,1821.11,Bed009-c5,s.%--,,,,you go to th- ==
1821.93,1829.49,Bed009-c5,s,,,,but i - i - i - i think it's really - really wrong headed for something that you - that has a lot of state .
1829.49,1833.77,Bed009-c5,s,,,,it's gonna interact co- - in a complicated way with the uh - understanding parts .
1831.56,1831.86,Bed009-c1,b,,,,yeah .
1834.9,1838.06,Bed009-c1,fg|s,,,,yeah | i think just the - the spatial planner and the route planner .
1838.35,1842.43,Bed009-c1,s^rt,,,,i showed you once the interac- - action between them among them in the deep map system .
1841.15,1841.29,Bed009-c5,b,,,,right .
1842.43,1845.77,Bed009-c1,fh|s,,,,so | a printout of the communication between those two fills up .
1846.16,1847.16,Bed009-c1,s^no,,,,i don't know how many pages .
1847.16,1850.32,Bed009-c1,s,,,,and that's just part of how do i get to one place .
1847.64,1847.84,Bed009-c0,b,,,,hmm .
1850.32,1852.58,Bed009-c1,s,,,,it's really insane .
1852.58,1853.29,Bed009-c1,fh,,,,and uh ==
1855.15,1861.24,Bed009-c1,s,7a,,,but um - so this is um - definitely a good point to get uh - michael into the discussion .
1861.46,1862.95,Bed009-c1,s,,,,or to enter his discussion actually .
1863.25,1863.87,Bed009-c1,s,,,,that's the way around .
1863.6,1864.41,Bed009-c0,fg|s.%--,7b.8a,,,yeah | marcus ==
1864.92,1865.38,Bed009-c1,s^bk^m,8b,,,markus .
1868.91,1870.83,Bed009-c1,qy^rt.%--,9a,,,is he new in the - in the ?==
1869.11,1869.63,Bed009-c0,qw.%-,,,,wh- - where's ?==
1870.51,1873.53,Bed009-c0,s^aa|s,9b,,,yeah | he's - he started um - i think january .
1870.92,1871.18,Bed009-c3,b,,,,yeah .
1875.75,1879.36,Bed009-c0,s,,,,and he's gonna be responsible for the implementation of this action planner .
1879.73,1880.44,Bed009-c0,s^bsc,,,,dialogue manager .
