1200.89,1203.02,Bmr024-c9,fg|qy^rt,1a,,,so | did they actually save the far-field data ?
1203.02,1205.38,Bmr024-c9,s.%-,,,,cuz at first they weren't - they weren't sa- ==
1203.29,1204.67,Bmr024-c5,s,1b,,,well this was - this was the question .
1203.41,1203.84,Bmr024-c4,b,,,,yes .
1203.54,1203.86,Bmr024-cB,b,,,,yeah .
1204.67,1206.57,Bmr024-c5,s,1b+2a,,,so - so they were saying they were not going to .
1205.2,1205.33,Bmr024-c4,b,,,,yeah .
1205.38,1205.71,Bmr024-c9,b,,,,o_k .
1206.57,1212.99,Bmr024-c5,s,1b++.2a+,,,and i said well that's silly if - if we're gonna try to do it for a corpus there might be people who are interested in acoustics .
1207.51,1207.91,Bmr024-c9,b,,,,yeah .
1209.47,1209.7,Bmr024-cB,s^fe.%,,,,wow !
1210.13,1210.3,Bmr024-c4,b,,,,no .
1211.88,1212.25,Bmr024-c9,%--,,,,or ==
1212.96,1215.38,Bmr024-c4,s^nd,2b,,,projector we were not saying we are not doing it .
1213.17,1213.49,Bmr024-c9,b,,,,yeah .
1214.1,1214.27,Bmr024-c3,%-,,,,s- ==
1215.12,1218.6,Bmr024-cB,qr^d,3a,,,no the - the question is do we save one or two far-field channels or all of them ?
1215.38,1216.46,Bmr024-c4,s.%--,,,,we wer- - we just wanted to do ==
1215.73,1215.94,Bmr024-c9,b,,,,right .
1217.6,1217.72,Bmr024-c4,b,,,,yeah .
1218.73,1218.8,Bmr024-c4,b,,,,yeah .
1218.95,1220.65,Bmr024-c5,s,3b,,,i - i see no reason not to do all of them .
1220.76,1227.3,Bmr024-c5,s,3b+,,,that - that if we have someone who is doing acoustic studies uh it's nice to have the same for every recording .
1220.99,1221.17,Bmr024-c3,fg,,,,um ==
1221.22,1221.53,Bmr024-c9,%,,,,nnn .
1221.71,1221.77,Bmr024-cB,b.%,,,,hmm .
1222.13,1222.48,Bmr024-c9,b,,,,yeah .
1227.56,1229.51,Bmr024-c3,qw^rt,4a,,,so what is the purpose of this recording ?
1227.88,1228.22,Bmr024-cB,b.%,,,,mm-hmm .
1230.36,1236.95,Bmr024-c3,s^bu^m,5b.6a,,,this is to get acoustic and language model training data for smartkom .
1230.49,1234.87,Bmr024-cB,s,4b.5a,,,it's to be traini- - to b- - training data and development data for the smartkom system .
1232.35,1233.07,Bmr024-c4,qy^d^rt,,,,the english system ?
1235.35,1235.57,Bmr024-cB,s^aa,6b,,,yeah .
1235.84,1235.91,Bmr024-c4,b,,,,yeah .
1236.46,1236.66,Bmr024-cB,s^aa,6b+.7a,,,right .
1237.05,1237.24,Bmr024-cB,s^aa,6b++.7a+,,,right .
1237.49,1237.81,Bmr024-c3,s^bk,7b,,,o_k .
1237.74,1238.39,Bmr024-c1,qw.%--,,,,where does this ?==
1237.77,1240.39,Bmr024-c9,s^cs,8a,,,maybe we can have him vary the microphones too .
1240.14,1240.6,Bmr024-c3,fg,,,,well ==
1240.39,1241.86,Bmr024-c9,s,8a+,r,,or they're different s- - speakers .
1240.41,1240.61,Bmr024-c4,%--,,,,b- ==
1241.06,1241.2,Bmr024-c5,fg,,,,right .
1241.2,1243.48,Bmr024-c5,fg|s,8b.9a,,,so - so - so | for their usage they don't need anything .
1241.94,1242.58,Bmr024-c3,qw.%-,,,,so why not ?==
1243.79,1243.89,Bmr024-c4,fg,,,,yeah .
1243.89,1244.16,Bmr024-c5,qy^d^f^g,,,,right ?
1243.89,1246.9,Bmr024-c4,s^ng,9b.10a,,,but - but i'm not sure about the legal aspect of - of that .
1246.9,1250.25,Bmr024-c4,qy,10a+,,,is - is there some contract with smartkom or something about the data ?
1248.51,1248.8,Bmr024-cB,b,,,,yeah .
