Bmr026-c1_0000040_0000140,yeah .,yeah .,z,z
Bmr026-c0_0000517_0001127,okay we're on .,o_k we're on .,s,s
Bmr026-c0_0001751_0005341,so i think this is going to be a pretty short meeting because i have four agenda items .,so i think this is gonna be a pretty short meeting because i have four agenda items .,s^t,s^t
Bmr026-c0_0005501_0009972,three of them were requested by jane who is not going to be at the meeting today .,three of them were requested by jane who is not gonna be at the meeting today .,s,s
Bmr026-c0_0010550_0010700,tsk .,{tsk} .,b,b
Bmr026-c0_0011064_0015835,so | the uh - first was transcription status .,so | the uh - first was transcription status .,h|s^rt^t,h|s^rt^t
Bmr026-c0_0015895_0018445,does anyone besides jane know what the transcription status is ?,does anyone besides jane know what the transcription status is ?,qy^rt,qy^rt
Bmr026-c5_0018970_0021210,um - | sort of i do peripherally .,um - | sort of i do peripherally .,fg|s,fg|s
Bmr026-c5_0021550_0031880,um - | well first of all with i b m i got a note from brian yesterday saying that they finally made the tape for the thing that we sent them a week or week and a half ago .,um - | well first of all with i_b_m i got a note from brian yesterday saying that they finally made the tape for the thing that we sent them a week or week and a half ago .,h|s,h|s
Bmr026-c2_0021661_0022681,is that english ?,is that english ?,qy^rt^t1,qy^rt^t1
Bmr026-c3_0026836_0027686,that's our system .,that's our system .,s,s
Bmr026-c0_0028891_0029071,ugh !,ugh !,s^fe,s^fe
Bmr026-c5_0031880_0033350,and that it's gone out to the transcribers .,and that it's gone out to the transcribers .,s,s
Bmr026-c5_0033350_0036397,and hopefully next week we'll have the transcription back from that .,and hopefully next week we'll have the transcription back from that .,s,s
Bmr026-c5_0037160_0044950,um - | jane seems to be um - moving right along on the transcriptions from the icsi side .,um - | jane seems to be um - moving right along on the transcriptions from the icsi side .,h|s,h|s
Bmr026-c0_0037280_0038130,c- - can i have a pen ?,c- - can i have a pen ?,qy,qy
Bmr026-c5_0044950_0051703,she's assigned i think probably five or six m- - more meetings .,she's assigned i think probably five or six m- - more meetings .,s,s
Bmr026-c2_0050280_0052740,yeah i think we're up to m r thirteen or something .,yeah i think we're up to m_r thirteen or something .,s^e,s^e
Bmr026-c5_0052770_0056240,yeah | so um - i guess she's hired some new transcribers .,yeah | so um - i guess she's hired some new transcribers .,fg|s,fg|s
