1998.13,2000.74,Bmr014-c8,s^cs,,,{so} {maybe} {you} {don't} give them access to the web interface unless they really need it .
2001.9,2002.47,Bmr014-cB,s.%-,,,well i guess ==
2002.23,2003.27,Bmr014-c8,fg,,,so - so - so ==
2002.63,2002.83,Bmr014-cB,b,,,yeah .
2003.27,2003.59,Bmr014-c8,s^fa,,,i'm sorry .
2003.59,2006.1,Bmr014-c8,fh|s,,,so - so - | so maybe this is a s- - a way out of it .
2003.96,2004.17,Bmr014-cB,b.%,,,hmm .
2006.1,2008.9,Bmr014-c8,s,,,you've provided something that's useful for you to do - handle .
2009.25,2011.81,Bmr014-c8,s,,,and useful for someone else if they need it .
2012.65,2019.24,Bmr014-c8,fh|sj,1a,,but | i think the issue of privacy and ease and so forth should be that uh they get access to this if they really need it .
2013.4,2013.58,Bmr014-c4,fg,,,well ==
2019.86,2029.6,Bmr014-c2,s^bu,1b.2a,,so you're saying the - the sequence would be more like first adam goes to the contact lists contacts them via whatever their preferred method is to see if they want to review the meeting .
2029.82,2030.01,Bmr014-c8,s^aa,2b,,right .
2030.55,2032.55,Bmr014-c2,s,,,and then if they don't you're done .
2032.88,2035.66,Bmr014-c2,s,,,if they do then he provides them access to the - the web site .
2035.92,2036.48,Bmr014-c8,%,,,w- - w- ==
2036,2039.79,Bmr014-c4,s,3a,,well | to some extent i have to do that anyway because as i said we have to distribute passwords .
2036.93,2038.3,Bmr014-c2,s^e,,,or a printed-out form .
2039.66,2040.17,Bmr014-c8,%--,,,there's - there ==
2040.17,2040.56,Bmr014-c8,%,,,y- ==
2040.66,2040.95,Bmr014-c4,fh,,,so ==
2041.13,2044.23,Bmr014-c8,s^nd,3b.4a,,but you don't necessarily have to distribute passwords is what i'm saying .
2044.83,2045.19,Bmr014-c8,fh,,,so ==
2044.93,2045.43,Bmr014-c4,fg,,,well but ==
2045.98,2046.84,Bmr014-c2,s^2,4b-1,,only if they want it .
2046.41,2049.65,Bmr014-c4,s^df,4b-2.5a,,what i'm saying is that i can't just email them the password because that's not secure .
2049.65,2049.95,Bmr014-c8,s^ar,5b,,no no no .
2049.95,2051.5,Bmr014-c8,s^ng.%-,5b+,,but you aren't necessarily giving them ==
2049.99,2051.66,Bmr014-c4,s,4b-2+.6a,,so they have to call me and ask .
2052.45,2052.83,Bmr014-c8,s^bk,6b,,right .
2053.53,2057.32,Bmr014-c8,s^nd,6b+.7a,,but we don't even necessarily need to end up distributing passwords at all .
2054.58,2054.67,Bmr014-c1,%,,,{laugh} ==
2057.75,2058.93,Bmr014-c4,s^df^nd,7b.8a,,well we do because of privacy .
2058.93,2060.92,Bmr014-c4,s^df,7b+.8a+,,we can't just make it openly available on the web .
2060.45,2061.55,Bmr014-c8,s^ar|s^ng,8b,,no no | you're missing the point .
2060.89,2061.13,Bmr014-cB,b.%,,,mm-hmm .
2062.11,2069.47,Bmr014-c8,s,,,we're - we're trying i- - we're trying to make it less of an obvious just l- - l- - l- - l- - uh fall off a log to do this .
2069.92,2071.95,Bmr014-cB,s,,,not everyone gets a password unless they ask for it .
2071.17,2071.44,Bmr014-c8,qy^d^g^rt,,,right ?
2071.91,2079.91,Bmr014-c8,s^cs,,,so th- - so what i would see is that first you contact them and ask them if they would like to review it for to check for the - not just for fun .
2072.56,2072.69,Bmr014-cB,b.%,,,yeah .
2080.73,2081.08,Bmr014-c8,qy^d^f^g^rt,,,o_k ?
2081.08,2086.08,Bmr014-c8,s,,,but to - to check this for uh things that they're worried about having said .
2086.08,2089.44,Bmr014-c8,s,,,or if they're willing to just send an approval of it at - from their memory .
2090.29,2095.91,Bmr014-c8,fh|s^co,,,um and uh | and we should think carefully - actually we should review - go through how that's worded .
2096.26,2096.61,Bmr014-c8,qy^d^f^g,,,o_k ?
2097.44,2106.21,Bmr014-c8,s^cs,9a,,then if someone uh wants to review it uh and i know you don't like this but i'm offering this as a suggestion is that - is that we then give them a print out .
2107.36,2118.41,Bmr014-c8,s^cs.%-,9a+,,and then if they say that i have a potential problem with these things then you - you say o_k well you might wanna hear this in context to s- - think if you need that you issue them a password i- - in the ==
2117.58,2122.03,Bmr014-c4,s^ng,9b.10a,,but the - the problem with what you're suggesting is it's not just inconvenient for them it's inconvenient for me .
2122.77,2128.65,Bmr014-c4,s^df,9b+.10a+,,because that means multiple contacts every time - for every single meeting every time anyone wants anything .
2129.52,2131.81,Bmr014-c4,sj^cs,10a++,,i would much prefer to have all be automatic .
