1463.95,1465.6,Bmr027-c0,s,,,there're bound to be some glitches the first time through .
1465.9,1469.04,Bmr027-c1,s^fa,43a,,and uh - and i'm sorry responding without uh having much knowledge .
1469.04,1472.13,Bmr027-c1,s^df,43a+,,but the thing is uh i am like one of these people who gets a gazillion mails .
1472.13,1474.07,Bmr027-c1,s.%-,,,and - and stuff comes in as ==
1472.77,1474.78,Bmr027-c5,s^df,43b,,well and that's exactly why i did it the way i did it .
1474.78,1477.46,Bmr027-c5,s,,,which is the default is if you do nothing we're gonna release it .
1477.46,1482.34,Bmr027-c5,s^rt,,,because you know i have my stack of emails of to d- - to be done .
1477.78,1478.09,Bmr027-c1,b,,,yeah .
1482.79,1484.26,Bmr027-c5,s^rt,,,that you know fifty or sixty long .
1484.26,1486.03,Bmr027-c5,s,44a,,and the ones at the top i'm never gonna get to .
1486.42,1486.78,Bmr027-c1,b,,,right .
1486.71,1488.68,Bmr027-c5,fg,,,and uh so - so ==
1487.58,1488.3,Bmr027-c2,s^cs^j,44b.45a,,move them to the bottom .
1489.39,1489.96,Bmr027-c5,s^aa^j,45b,,yeah right .
1489.72,1495.05,Bmr027-c1,s,,,so - so the only thing we're missing is - is some way to respond to easily to say uh o_k go ahead or something .
1490.98,1492.27,Bmr027-c5,qy.%-,,,so i- - this is gonna mean ?==
1493.89,1495.89,Bmr027-c2,s^cs,,FBH,just re-mail them to yourself and then they're at the bottom .
1495.05,1495.35,Bmr027-c1,b,,,yeah .
1495.13,1495.34,Bmr027-c5,s^aa,,,yeah .
1496.41,1497.86,Bmr027-c5,fg|s^ba,,,yeah | that's actually definitely a good point .
1496.46,1496.71,Bmr027-c0,b,,,yeah .
1497.86,1503.87,Bmr027-c5,s,47a,,the m- - email doesn't specify that you can just reply to the email as op- - as opposed to going to the form .
1503.13,1503.4,Bmr027-cb,%-,,,in ==
1503.42,1503.73,Bmr027-c0,b^rt,,,mm-hmm .
1503.81,1504.23,Bmr027-c4,s^aa,47b,,right .
1503.87,1504.01,Bmr027-c5,%-,,,and ==
1504.2,1506.52,Bmr027-c0,s,,,and it also doesn't give a - a specific - i didn't think of it .
1506.7,1511.77,Bmr027-c0,s^cs,48a,,s- - i think it's a good idea - an ex- - explicit time by which this will be considered definite .
1511.03,1511.69,Bmr027-c5,fg|s^2,48b,,yeah | release .
1512.36,1514.3,Bmr027-c0,s^co^e,49a,,and - and it has to be a time earlier than that endpoint .
1514.93,1516.17,Bmr027-c1,s^bk|s^ba,49b.50a,,yeah | it's converging .
1516.63,1518.63,Bmr027-cb,s,,,this - um i've seen this recently .
1517.09,1517.67,Bmr027-c0,s^aa,50b,,yeah that's right .
1518.63,1519.56,Bmr027-cb,s,,,uh i got email .
1519.98,1529.93,Bmr027-cb,s^rt,51a,,and it - i- - if i use a mime-capable mail reader it actually says you know click on this button to confirm receipt of the - of the mail .
